CNNAM,FNFNUM,CNID,USERID,CREATED,MODIFIED
"Celandine","248","CELANDINE","DUKE","10-DEC-97",""
"Lambsquarter","249","LAMBSQUARTER","DUKE","10-DEC-97",""
"Epazote","250","EPAZOTE","DUKE","10-DEC-97",""
"Wormseed","250","WORMSEED","DUKE","10-DEC-97",""
"King's Cure","251","KINGSCURE","DUKE","10-DEC-97",""
"Pipsissewa","251","PIPSISSEWA","DUKE","10-DEC-97",""
"Curare","252","CURARE","DUKE","10-DEC-97",""
"Irish Moss","253","IRISHMOSS","DUKE","10-DEC-97",""
"Balsamite","254","BALSAMITE","DUKE","10-DEC-97",""
"Costmary","254","COSTMARY","DUKE","10-DEC-97",""
"Pyrethrum","255","PYRETHRUM","DUKE","10-DEC-97",""
"Garland Chrysanthemum","256","GARLANDCHRYSANTHEMUM","DUKE","10-DEC-97",""
"Feverfew","257","FEVERFEW","DUKE","10-DEC-97",""
"Chickpea","258","CHICKPEA","DUKE","10-DEC-97",""
"Garbanzo","258","GARBANZO","DUKE","10-DEC-97",""
"Endive","259","ENDIVE","DUKE","10-DEC-97",""
"Escarole","259","ESCAROLE","DUKE","10-DEC-97",""
"Chicory","260","CHICORY","DUKE","10-DEC-97",""
"Witloof","260","WITLOOF","DUKE","10-DEC-97",""
"Water Hemlock","261","WATERHEMLOCK","DUKE","10-DEC-97",""
"Sheng Ma","262","SHENGMA","DUKE","10-DEC-97",""
"Black Cohosh","263","BLACKCOHOSH","DUKE","10-DEC-97","29-SEP-98"
"Quinine","264","QUININE","DUKE","10-DEC-97",""
"Cassia","265","CASSIA","DUKE","10-DEC-97",""
"Java Cinnamon","266","JAVACINNAMON","DUKE","10-DEC-97",""
"Padang Cassia","266","PADANGCASSIA","DUKE","10-DEC-97",""
"Camphor","267","CAMPHOR","DUKE","10-DEC-97",""
"Ho Leaf","267","HOLEAF","DUKE","10-DEC-97",""
"Japanese Cinnamon","268","JAPANESECINNAMON","DUKE","10-DEC-97",""
"Cinnamon","269","CINNAMON","DUKE","10-DEC-97",""
"Butua","270","BUTUA","DUKE","10-DEC-97",""
"False Pareira","270","FALSEPAREIRA","DUKE","10-DEC-97",""
"Pareira","270","PAREIRA","DUKE","10-DEC-97",""
"Broomrape","271","BROOMRAPE","DUKE","10-DEC-97",""
"Cistanchis Herba","271","CISTANCHISHERBA","DUKE","10-DEC-97",""
"Jou Tsung Jung","271","JOUTSUNGJUNG","DUKE","10-DEC-97",""
"Ambreine","272","AMBREINE","DUKE","10-DEC-97",""
"Gum Cistus","272","GUMCISTUS","DUKE","10-DEC-97",""
"Labdanum","272","LABDANUM","DUKE","10-DEC-97",""
"Rockrose","272","ROCKROSE","DUKE","10-DEC-97",""
"Colocynth","273","COLOCYNTH","DUKE","10-DEC-97",""
"Watermelon","274","WATERMELON","DUKE","10-DEC-97",""
"Lime","275","LIME","DUKE","10-DEC-97",""
"Petitgrain","276","PETITGRAIN","DUKE","10-DEC-97",""
"Lemon","279","LEMON","DUKE","10-DEC-97",""
"Citron","280","CITRON","DUKE","10-DEC-97",""
"Mandarin","281","MANDARIN","DUKE","10-DEC-97",""
"Tangerine","281","TANGERINE","DUKE","10-DEC-97",""
"Orange","282","ORANGE","DUKE","10-DEC-97",""
"Grapefruit","283","GRAPEFRUIT","DUKE","10-DEC-97",""
"Traveler's Joy","284","TRAVELERSJOY","DUKE","10-DEC-97",""
"Blessed Thistle","285","BLESSEDTHISTLE","DUKE","10-DEC-97",""
"Jih-Chiung","286","JIHCHIUNG","DUKE","10-DEC-97",""
"Chaya","287","CHAYA","DUKE","10-DEC-97",""
"Coconut","288","COCONUT","DUKE","10-DEC-97",""
"Coffee","289","COFFEE","DUKE","10-DEC-97",""
"Adlay","290","ADLAY","DUKE","10-DEC-97",""
"Adlay Millet","290","ADLAYMILLET","DUKE","10-DEC-97",""
"Job'S-Tears","290","JOBSTEARS","DUKE","10-DEC-97",""
"Yi-Yi-Ren","290","YIYIREN","DUKE","10-DEC-97",""
"Abata Cola","291","ABATACOLA","DUKE","10-DEC-97",""
"Autumn Crocus","292","AUTUMNCROCUS","DUKE","10-DEC-97",""
"Meadow Saffron","292","MEADOWSAFFRON","DUKE","10-DEC-97",""
"Forskohl's Coleus","293","FORSKOHLSCOLEUS","DUKE","10-DEC-97",""
"Forskohl's Coleus","294","FORSKOHLSCOLEUS","DUKE","10-DEC-97",""
"El Nene","295","ELNENE","DUKE","10-DEC-97",""
"Stone Root","296","STONEROOT","DUKE","10-DEC-97",""
"Taro","297","TARO","DUKE","10-DEC-97",""
