taxonid|relatednameusageid|relationtype|remarks
2861001|2860380|replacement name|
2977066|2990363|replacement name|
2460684|2935664|replacement name|
2568601|2559528|replacement name|
2677765|2578550|replacement name|, nom. superfl.
2532836|2720669|replacement name|
2765518|2578550|replacement name|
2335274|2461860|replacement name|
2800980|2800899|replacement name|
2469736|2469592|replacement name|
2595526|2601805|replacement name|
2620763|2521100|replacement name|
385063|377947|replacement name|, nom. superfl.
417245|427963|replacement name|, nom. superfl.
2548798|2686328|replacement name|, nom. superfl.
2351344|2535510|replacement name|, nom. superfl.
2572256|2571826|replacement name|
2722375|2723059|replacement name|
3285628|3205535|replacement name|
2969069|2971878|replacement name|
3217000|3216933|replacement name|
279066|279227|replacement name|
3217147|3202068|replacement name|
3197|109121|replacement name|, nom. illeg.
299927|300024|replacement name|
341863|327336|replacement name|
327135|327378|replacement name|, nom. superfl.
327431|327378|replacement name|, nom. superfl.
412400|405559|replacement name|, nom. superfl.
397586|397946|replacement name|, nom. superfl.
514769|515385|replacement name|, nom. superfl.
507592|501047|replacement name|, nom. superfl.
62088|62077|replacement name|, not validly publ.
219229|218740|replacement name|
2536178|2428543|replacement name|, nom. superfl.
3136880|3133653|replacement name|
2678696|2678725|replacement name|, nom. superfl.
2756409|2756249|replacement name|, nom. superfl.
3104432|3104431|replacement name|
3133682|3135965|replacement name|
3219651|3133797|replacement name|, nom. superfl.
1856|1869|replacement name|, nom. illeg.
3136921|3133856|replacement name|, non Trattinickia Willd.
2579800|2579778|replacement name|
2800304|2646253|replacement name|
582|1207|replacement name|
2731250|2566027|replacement name|
2731170|2566027|replacement name|
190478|6242|replacement name|, nom. superfl.
2975681|2975652|replacement name|, not validly publ.
2975661|2975652|replacement name|, not validly publ.
3182282|3182290|replacement name|
3050994|3270627|replacement name|, nom. superfl.
2516941|2812393|replacement name|, nom. superfl.
132|130|replacement name|, not validly publ.
178631|607|replacement name|
187|185|replacement name|, not validly publ.
178770|1291|replacement name|
193|192|replacement name|, not validly publ.
314|311|replacement name|, not validly publ.
202|538|replacement name|
210|208|replacement name|, not validly publ.
252|251|replacement name|, not validly publ.
522|301|replacement name|
178613|156|replacement name|
329577|1104|replacement name|, not validly publ.
330|329577|replacement name|, not validly publ.
349|348|replacement name|, not validly publ.
435|434|replacement name|, not validly publ.
444|442|replacement name|, not validly publ.
454|451|replacement name|, not validly publ.
491|487|replacement name|, not validly publ.
804|801|replacement name|, not validly publ.
152|668|replacement name|
670|669|replacement name|, not validly publ.
523|521|replacement name|
1110|207482|replacement name|, not validly publ.
1323|552|replacement name|
568|1355|replacement name|
598|596|replacement name|, not validly publ.
627|624|replacement name|, not validly publ.
636|632|replacement name|, not validly publ.
655|654|replacement name|, not validly publ.
656|605|replacement name|
664|1156|replacement name|
1158|1156|replacement name|, not validly publ.
459|689|replacement name|, nom. superfl.
695|125706|replacement name|
696|1405|replacement name|
366|207264|replacement name|
178780|1064|replacement name|
245|244|replacement name|, not validly publ.
1381|1380|replacement name|, not validly publ.
790|749|replacement name|
841|838|replacement name|, not validly publ.
874|581|replacement name|
659|658|replacement name|, not validly publ.
909|335035|replacement name|
912|910|replacement name|, not validly publ.
932|931|replacement name|, not validly publ.
1261|1260|replacement name|, nom. illeg.
959|957|replacement name|, not validly publ.
377161|1370|replacement name|
1087|972|replacement name|, nom. superfl.
982|977|replacement name|, not validly publ.
701|415|replacement name|, nom. illeg.
1007|1001|replacement name|, not validly publ.
178649|309|replacement name|
1016|410|replacement name|
999|1314|replacement name|
1117|1314|replacement name|
178721|784|replacement name|
1025|1023|replacement name|, not validly publ.
1041|850|replacement name|
1062|514|replacement name|
1082|1080|replacement name|, not validly publ.
1089|1088|replacement name|, not validly publ.
1049|1248|replacement name|
1132|1131|replacement name|
1115|1131|replacement name|
1154|1151|replacement name|, not validly publ.
1164|1160|replacement name|, not validly publ.
1171|542|replacement name|
1172|1171|replacement name|, not validly publ.
1229|1208|replacement name|, nom. superfl.
1222|1021|replacement name|
1309|834|replacement name|
1320|1319|replacement name|, not validly publ.
385|686|replacement name|
1344|1342|replacement name|, not validly publ.
1139|1391|replacement name|
329586|1359|replacement name|, not validly publ.
1374|1373|replacement name|, not validly publ.
1387|835|replacement name|
181546|69309|replacement name|
462342|14632|replacement name|
1831|137032|replacement name|
106419|144771|replacement name|
2161|37317|replacement name|, nom. illeg.
29358|2304|replacement name|, opus utique oppr.
2335|2339|replacement name|
2391|2389|replacement name|
2402|88395|replacement name|, nom. superfl.
2601|44573|replacement name|, nom. superfl.
2692|10287|replacement name|, not validly publ.
114876|190351|replacement name|
114877|190351|replacement name|
2812|93568|replacement name|, not validly publ.
2835|55659|replacement name|, not validly publ.
332381|55662|replacement name|, not validly publ.
335904|3055|replacement name|
125798|125799|replacement name|, nom. superfl.
3064|125798|replacement name|, nom. superfl.
133240|3245|replacement name|
3270|133272|replacement name|
133228|36702|replacement name|
335377|50964|replacement name|, nom. illeg.
339533|50964|replacement name|, nom. illeg.
329616|3324|replacement name|, not validly publ.
3324|179072|replacement name|, nom. illeg.
3318|3317|replacement name|, not validly publ.
3410|386903|replacement name|
3511|119201|replacement name|, nom. illeg.
9486|9485|replacement name|, nom. illeg.
3842|9486|replacement name|, nom. illeg.
177907|9486|replacement name|, nom. illeg.
3905|57100|replacement name|, not validly publ.
3997|133606|replacement name|
3999|3987|replacement name|
4004|3938|replacement name|
342528|4109|replacement name|
3343|4130|replacement name|, not validly publ.
4107|181541|replacement name|
4190|4135|replacement name|
519825|345626|replacement name|
123|106138|replacement name|
4451|115112|replacement name|, not validly publ.
4485|24729|replacement name|, not validly publ.
56172|4503|replacement name|, nom. illeg.
56173|379789|replacement name|, nom. illeg.
4525|379789|replacement name|, nom. illeg.
56183|4525|replacement name|
56188|379789|replacement name|
56194|379789|replacement name|, nom. illeg.
345696|4525|replacement name|, nom. superfl.
348296|56180|replacement name|
4522|56180|replacement name|
527384|16183|replacement name|, nom. superfl.
4723|4720|replacement name|, not validly publ.
4734|4728|replacement name|, not validly publ.
4809|185157|replacement name|
4813|4811|replacement name|, not validly publ.
465238|4852|replacement name|, nom. superfl.
4915|39236|replacement name|
4887|13467|replacement name|
176188|93938|replacement name|
176372|92664|replacement name|
5077|214309|replacement name|, nom. superfl.
176438|176215|replacement name|
148126|211038|replacement name|
176329|93951|replacement name|
120997|121007|replacement name|
329637|5169|replacement name|, not validly publ.
25018|202792|replacement name|, nom. superfl.
37758|202792|replacement name|
5302|203026|replacement name|
453933|5223|replacement name|, not validly publ.
5423|5285|replacement name|
345173|5381|replacement name|, nom. superfl.
5234|345173|replacement name|
5177|5288|replacement name|, nom. superfl.
475484|5284|replacement name|
460137|460138|replacement name|, nom. superfl.
5421|5283|replacement name|
5425|5168|replacement name|
